Papp Diána;Kerek perec
Kõrösi Zoltán;Szerelmes évek
Ruta Sepetys;Kalitkába zárt álmok
Márai Sándor;Írók, költõk, irodalom
M. C. Beaton;Agatha Raisin és a sziszifuszi szerelem
Timur Vermes;Nézd, ki van itt
Fodor Ákos;Dél után
Fodor Ákos;Pontok
Fodor Ákos;Akupunktura
Fodor Ákos;Jazz
M. C. Beaton;Agatha Raisin és az áradás napja
Vercors;A tenger csendje és más kisregények
Mark Helprin;Téli mese
Allan Pease  Barbara Pease;Testbeszéd a munkahelyen
David Garnett;A rókafeleség / Ember az állatkertben
Vera Kistlerová;Ne menj oda, kisfiam, gyilkos van ott
Pilinszky János;Szálkák
Jessica Brockmole;Levelek Skye szigetérõl
Elizabeth Kostova;Hattyútolvajok
Szabó Anna Eszter  Nagy Szilvia;Tudom, mit csinál a gyereked szombat éjjel!
Jeffrey Eugenides;Öngyilkos szüzek
Tracey Garvis Graves;Kötelék
Sjón;A macskaróka
Elina Hirvonen;Hogy õ is ugyanarra emlékezzen
Virginia Woolf;Éjre nap
Rae Earl;My Fat, Mad Teenage Diary
Jeff VanderMeer;Expedíció
Jeanette Winterson;Miért lennél boldog, ha lehetsz normális?
Jacqueline Winspear;Maisie Dobbs és a háborús rejtély
M. C. Beaton;Agatha Raisin és a kívánatos káplán
Helen Fielding;Bridget Jones naplója 3.  Bolondulásig
On Sai;Calderon, avagy hullajelölt kerestetik
Simon Márton;Dalok a magasföldszintrõl
D. Tóth Kriszta;Jöttem, hadd lássalak
Bohumil Hrabal;Õfelsége pincére voltam
Virginia Woolf;Messzeség
Kleinheincz Csilla;Ólomerdõ
Papp Diána;Téli fagyi
Katherine Mansfield;Egy csésze tea
Szilágyi Rita;Irodalmi hölgyvilág
On Sai;Calderon, avagy felségáruláshoz bricsesz dukál
Ford Madox Ford;Az utolsó angol úriember  Vannak, akik nem
Melania G. Mazzucco;Egy tökéletes nap
Agatha Christie;Gyilkosság meghirdetve
Grecsó Krisztián;Megyek utánad
Scott Kelby;A digitális fotós könyv 4.
Félix J. Palma;Az idõ térképe
Sam Savage;Firmin
Charles Stross;Accelerando
Amy Kathleen Ryan;Szikra
Hannu Rajaniemi;Kvantumtolvaj
Horváth Tibor;Horvátország
Ford Madox Ford;Az utolsó angol úriember  Soha többé
Gaál Viktor  Kiss Angéla;Feketén fehéren
Boris Vian;Venyigeszú és a plankton
Mohay Béla;Katherine Mansfield világa
Robert Merle;Védett férfiak
Odette Beane;Egyszer volt, hol nem volt  Ébredés
Dorit Rabinjan;Lakodalmaink
Caitlin Moran;Hogyan legyünk tökös csajok
Robert Galbraith;Kakukkszó
Joe Hill;Szarvak
Émile Ajar;Elõttem az élet
Brunella Gasperini;Én és õk
Téa Obreht;A Tigris asszonya
Ottlik Géza;Hajnali háztetõk
Ernest Cline;Ready Player One
;Háztartáskönyv
Silvia Avallone;Acél
Mary Ann Shaffer  Annie Barrows;Krumplihéjpite Irodalmi Társaság
Urbán Eszter (szerk.);Mai angol elbeszélõk
Alexandra Harris;Virginia Woolf
Orson Scott Card;Bûvölet
Paul Auster;New York trilógia
Rainbow Rowell;Eleanor és Park
Gabrielle Zevin;Egy könyvmoly regényes élete
Debora Geary;Modern boszorkány
Alan Bennett;A királynõ olvas
Cat Winters;Fekete madarak árnyékában
Méhes László;Veszprém és a Bakony
M. C. Beaton;Agatha Raisin és a kísértetház
Malala Juszufzai  Christina Lamb;Én vagyok Malala
Arto Paasilinna;Az akasztott rókák erdeje
Michael Buckland;A könyvtári szolgáltatások újratervezése
Tóth Krisztina;Pillanatragasztó
Elif ªafak;Az isztambuli fattyú
Marisa de los Santos;És besétált a szerelem
;Világszép Vaszilisza
Kleinheincz Csilla;Üveghegy
Arto Paasilinna;A nyúl éve
Salla Simukka;Vérvörös
Percy Bysshe Shelley;Shelley versei
Ford Madox Ford;Az utolsó angol úriember  Túl mindenen
Salla Simukka;Hófehér
Eowyn Ivey;A hóleány
Sarah Addison Allen;A barackfa titka
Gareth Roberts  Douglas Adams;Shada
Maria Bellonci;Lucrezia Borgia
