Térey János;Moll
Tompa Andrea;Fejtõl s lábtól. Kettõ orvos Erdélyben
Szûcs Teri;A felejtés története. A Holokauszt tanúsága irodalmi mûvekben
Verena Rossbacher;Sóvárgás sárkánya
Gál Ágnes- Gál Julianna;Cs. Szabó Levente és Gál István levelezése 1933-1982
Oravecz Imre;Kalifornia fürj
Bereményi Géza;Vadnai Bébi
Bengt Jangfeld;Feljegyzések Joseph Brodskyról. A nyelv az Isten
Vörös István;Gagarin: Avagy jóslástan alapfokon
Takács Zsuzsa;Tiltott nyelv
Timur Vermes;Nézd, ki van itt
Janathan Franzen;Javítások
Nagy Imre;Öttorony. A pécsi irodalmi mûveltség a kezdetektõl a huszadik századig
Borgos Anna;Nemek között. Nõtörténet, szexualitástörténet
Sándor Iván;Az éjszaka mélyén 1914
Falcsik Mari;Nõket nézõ képek
Oleg Pavlov;Orosz trilógia
Garami András - Mekis D. János;- Németh Ákos (szerk.): Nemzedéki narratívák a kultúratudományokban
Radványszky Anikó (szerk.);"""Figyeljétek a mesélõ embert"". Esszék és tanulmányok Lengyel Péterrõl"
Kõrösi Zoltán;Magyarka
Bazsányi Sándor  Wesselényi-Garay Andor;Kettõs vakolás. Terek/szövegek
Keresztesi József;Anabázis
Havasréti József;Szerb Antal
Nagy Imre;A Lumi?re-örökség. Filmek az ezredfordulón III.
Thomas Pynchon;Beépített hiba
Lengyel Imre Zsolt;Beszélgetés fákról. Irodalomkritikák 20092012
Rubin Szilárd;Zsebtükör. Válogatott írások [válogatta és szerkesztette Keresztesi József]
Ladányi István;Hõsök, terek. Identitáskérdések és térproblémák közép-európai regényekben, Eresszai észrevételek. Esszék, tanulmányok
Szilágyi Zsófia;Móricz Zsigmond
Szilasi László;A harmadik híd
Varga Mátyás;hajnali 3
Aczél Géza;[szino]líra. torzószótár
Závada Pál;Természetes fény
Platón;Állam
Anna Funder;Stasiország
Arno Camenisch;Az utolsó cseppig. Alpesi trilógia
Grecsó Krisztián;Megyek utánad
Szabó T. Anna;Kerített tér
Háy János;Napra jutni
Parti Nagy Lajos;Mi történt avagy sem
Nemes Nagy Ágnes;Magyarul és világul (szerkesztette: Lengyel Balázs és Ferencz Gyõzõ)
Sofi Oksanen;Mikor eltûntek a galambok
