Bengi László;Elbeszélt halál. Kosztolányi-tanulmányok
Parti Nagy Lajos;Mi történt avagy sem
Gerevich András;Teiresias Geständnisse
Michael Kumpfmüller;Az élet gyönyörûsége
Tyson;Az utca hercege (Kis magyar gettóregény)
Borbély Szilárd;Nincstelenek
Roberto Bola?o;Vad nyomozók
Szántó T. Gábor;Édeshármas
Csehy Zoltán;Nincs hova visszamennem.
Farkas Péter;nehéz esõk (hard rain)
Kötter Tamás;Rablóhalak
Gerõcs Péter;A betegség háza
Tompa Andrea;Fejtõl s lábtól
Vida Gábor;Ahol az õ lelke
Németh István;Fordulat után
Szunyog Zsuzsa;Szél, szoknya, tenger
Tóth Krisztina;Akvárium
Tolnai Ottó;Kalapdoboz
Czapáry Veronika;Megszámolt babák
Thomas Pynchon;Beépített hiba
Száz Pál;Halott föld, halott lányok
Veres István;Dandaranda
Csepregi János;Az amerikai fiú
Borgos Anna;Nemek között, nõtörténet, szexualitástörténet
György Péter;Állatkert Kolozsváron  Képzelt Erdély
Nyerges Gábor Ádám;Sziránó színfónia
Dmitry Glukhovsky;Orosz népellenes mesék
Babiczky Tibor;Magas tenger
Gaucsík István;Lemorzsolódó kisebbség
Kondor Vilmos;A másik szárnysegéd
Mészáros András;Széttartó párhuzamok
Péterfy Gergely;Kitömött barbár
Csáth Géza;"""Méla akkord: hínak lábat mosni"""
Mirja Tervo;Tûsarok és kamatláb. A luxuscipõk veszélyes vonzereje
Balázs Attila;Pokol mélyén rózsakert
Bodor Johanna;Nem baj, majd megértem
