G. Szabó Judit;Hárman a szekrény tetején
Murakami Haruki;A színtelen Tazaki Cukuru és zarándokévei
Tom Angleberger;Papír-Yoda különös esete
Beth Hoffman;Déli álmok
D. Tóth Kriszta;Jöttem, hadd lássalak
Sándor Anna;Szibériai anziksz
Susan Cain;Csend
Nicholas Christopher;Bestiárium
Marion Cunningham;The Breakfast Book
David Kessler;Muszáj annyit enni?
Jevgenyij Popov;Vodkára Vodkát
Jeff VanderMeer;Expedíció
James Smythe;A felfedezõ
Jonathan Franzen;Szabadság
Kepes András;Tövispuszta
Hugh Fearnley-Whittingstall;Három jó dolog a tányéron
Denis Diderot;Az apáca
Mautner Zsófia;Fõzõiskola  Alapfok
Mette Jakobsen;Minou szigete
Slavenka Drakuliæ;Frida, avagy a fájdalomról
John Berendt;Éjfél a jó és a rossz kertjében
Austin Kleon;Lopj úgy, mint egy mûvész!
Laini Taylor;Füst és csont leánya
Audrey Niffenegger;Hollókisasszony
Sue Monk Kidd;A méhek titkos élete
Carol Birch;Jamrach vadállatai
Mons Kallentoft;Véres tél
Frances Mayes  Edward Mayes;Napsütötte szakácskönyv
Paula Mclain;A párizsi feleség
Charles Bukowski;Posta
Rachel Hartman;Seraphina
Helen Fielding;Bridget Jones naplója 3.  Bolondulásig
Kathleen Grissom;Tölgyfa a dombtetõn
Juliet Grey;A fényûzés napjai
Jamie Oliver;30 percesek
Stephanie Barron;Az udvarház rejtélye
Philippa Perry;Hogyan maradjunk normálisak?
Nyáry Krisztián;Így szerettek õk 2
Szécsi Noémi;Nyughatatlanok
Jeff VanderMeer;Kontroll
Orhan Pamuk;Isztambul
Kondor Vilmos;Budapest noir
Seth MacFarlane;Hogyan rohanj a vesztedbe
Robert Galbraith;Kakukkszó
Astrid Lindgren;Britta kiönti szívét
Keri Smith;How to Be an Explorer of the World
Rejtõ Jenõ (P. Howard);Vesztegzár a Grand Hotelben
J. D. Salinger;Zabhegyezõ
Rosamund Lupton;Azután
Beth Revis;Across the Universe  Túl a végtelenen
Katarina Mazetti;Pingvinélet
Jenny Han;The Summer I Turned Pretty  A nyár, amikor megszépültem
Csíkszentmihályi Mihály;Flow  Az áramlat
Giuseppe Tomasi di Lampedusa;A párduc
Ben Aaronovitch;London folyói
Kim Leine;A Végtelen-fjord prófétái
John Vaillant;A tigris
Michelle Moran;Kleopátra lánya
Ransom Riggs;Vándorsólyom kisasszony különleges gyermekei
Elif ªafak;Szerelem
David Benioff;Tolvajok tele
Lauren Graham;Egy nap talán
Stieg Larsson;The Girl with the Dragon Tattoo
Jeff VanderMeer;Fantomfény
Katharina Hagena;Az almamag íze
Karin Fossum;Ne nézz vissza
Lionel Shriver;Születésnap után
Holly Black;White Cat  A Fehér Macska
Jessica Brockmole;Levelek Skye szigetérõl
Benedek Szabolcs;A vértanú
Barbara Ann Kipfer;14,000 things to be happy about
Patrick Modiano;Sötét Boltok utcája
Alan Bradley;De mi került a pitébe?
Matthew Quick;Napos oldal
Debra Dean;Leningrádi Madonnák
Melissa Bank;Egy pasivadász feljegyzései
Max Brooks;World War Z  Zombiháború
Lena Dunham;Not That Kind of Girl
Anne Holt;1222
Edward Kelsey Moore;Szikomorfán születtem
Holly Smale;Geek Girl  A lány, akit soha senki nem vett észre
Gillian Flynn;Sötét helyek
Barbara Demick;Nincs mit irigyelnünk a világtól
Gretchen Rubin;Boldogságterv
J. R. R. Tolkien;A babó
Gail Carriger;Soulless  Lélektelen
