Kevin Hearne;Hounded  Üldöztetve
Karen Thompson Walker;Csodák kora
Philippa Gregory;Changeling
Yann Martel;Pi élete
Lovranits Júlia;Lea és a viharbanyák
Alastair Reynolds;Napok háza
M. C. Beaton;Agatha Raisin és a spenótos halálpite
Nick Hornby;Pop, csajok, satöbbi
Robert Holdstock;Mitágó-erdõ
Muriel Barbery;A sündisznó eleganciája
Jeff VanderMeer;Expedíció
John Steinbeck;Lement a Hold
Mark Helprin;Téli mese
Michael J. Sullivan;Trónbitorlók
John Scalzi;Zoë története
Karsza Andi  Molnár Nikolett (szerk.);Tetovált mementó
Scott Westerfeld;Behemót
Caitlin Moran;Hogyan legyünk tökös csajok
Darvasi László;Trapiti
Kim Stanley Robinson;2312
Patrick Ness  Siobhan Dowd;Szólít a szörny
Orson Scott Card;A Hegemón árnyékában
Rebecca Donovan;Visszafojtott lélegzet
Robin Hobb;Az orgyilkos tanítványa
Kelemen Zoltán;Elsõ 21 novella
David Benioff;Tolvajok tele
Moskát Anita;Bábel fiai
Patrick Ness;Soha nincs vége
Boris Vian;Venyigeszú és a plankton
Dan Wells;Nem akarlak megölni
Jeff VanderMeer;Kontroll
Brandon Hackett;Az idõutazás napja
Dániel András;Egy kupac kufli
Patrick Ness;A daruasszony
Baráth Katalin;A borostyán hárfa
Vincent Cuvellier;Emil denevért szeretne
Vincent Cuvellier;Emil láthatatlan
Ben Aaronovitch;London folyói
Kim Stanley Robinson;A rizs és a só évei
Lois Lowry;Az emlékek õre
Gaura Ágnes;Lidércnyomás
Jeanette Winterson;Miért lennél boldog, ha lehetsz normális?
Scott Westerfeld;Góliát
Daryl Gregory;Stony Mayhall második élete
Daniel Glattauer;Gyógyír északi szélre
On Sai;Calderon, avagy felségáruláshoz bricsesz dukál
Marie-Aude Murail;Oh, boy!
Daniel Glattauer;A hetedik hullám
Neil Gaiman;Fortunately, the Milk
Dan Wells;Fragments  Töredékek
Isaac Asimov;A halhatatlanság halála
Dániel András;A kuflik és a nagy esõ
Robert Galbraith;Kakukkszó
Gerald Durrell;Istenek kertje
Alfred Bester;Az arcnélküli ember
Emylia Hall;Nyarak könyve
Maria Semple;Hová tûntél, Bernadette?
Richard Morgan;Valós halál
Kim Harrison;Boszorkányfutam
Werner Holzwarth;Mese a vakondról, aki tudni akarta, hogy ki csinált a fejére
China Miéville;Kraken
David Levithan;Nap nap után
On Sai;Scar
Fábián László;Itt a bobókat is megölik?
Jeff VanderMeer;Fantomfény
John Scalzi;Bezárt elmék
Jasper Fforde;Egy regény rabjai
Andy Weir;A marsi
Karen Marie Moning;Keserû ébredés
Rachel Joyce;Ellopott pillanat
Karen Marie Moning;Álom és valóság
A. M. Aranth;Cleadur  Dobszó a ködben
Karen Marie Moning;A hajnalra várva
Karen Marie Moning;Rossz hold kelt fel
Karen Marie Moning;Új nap virrad
David Brin;Dettó
Orson Scott Card;Bûvölet
Lauren Beukes;Tündöklõ lányok
James Dashner;Az útvesztõ
Ian McDonald;Síkvándor
Choderlos de Laclos;Veszedelmes viszonyok
Benyák Zoltán;Csavargók dala
Graeme Simsion;A Rosie projekt
Molnár Ferenc;Liliom / Az üvegcipõ / Játék a kastélyban
Marisa de los Santos;És besétált a szerelem
Ann Leckie;Mellékes igazság
James Clavell;A Tajpan
Richard Paul Evans;A karácsonyi doboz
Adrian Barnes;Álmatlanok
Gabrielle Zevin;Egy könyvmoly regényes élete
Jim Butcher;Fool Moon
