Hisham Matar;Férfiak földjén
Al Gore;A jövõ - A globális változás hat mozgatórugója
Sasha Grey;A Juliette társaság
Forgách András;12 nõ voltam
Jonas Jonasson;Az analfabéta, aki tudott számolni
Omair Ahmad;A mesemondó meséje
Sheryl Sandberg;Dobd be magad!
Jászberényi Sándor;Az ördög egy fekete kutya
Robert Holdstock;itágó-erdõ
L. Stipkovits Erika;Közelebb egymáshoz
Hidas Judit;Hotel Havanna
Weöres Sándor;Holdbeli csónakos
Hisham Matar;Egy eltûnés anatómiája
Sally Gardner;A Hold legsötétebb oldala
Mikal Hem;Kezdõ diktátorok kézikönyve
Jeff Abbott;Végjáték
Maurice Druon;A Vaskirály (Elátkozott Királyok I.) 
Kálmán Olga;Egyenes beszéd  Adásidõn innen és túl
Richard Stark;Veszélyes szövetség
A- Babiczky Tibor;Magas tenger
Ben Gilliland;100 rendkívüli ember világraszóló tette
Mérlegen az alaptörvény - Szerkesztette;Molnár Benedek  Németh Márton  Tóth Péter
Goce Smilevski;Freud húga
Simone de Beauvoir;A hit hatalma
Arno Geiger;A számûzött öreg király
Lotte és Soren Hammer;Elvetemültek
Karen Thompson Walker;Csodák kora - Káprázatos látomás egy eltûnõben lévõ világról
Martin Pistorius;Néma üvöltés
Rod Stewart;ROD - önéletrajz 
Kötter Tamás;Rablóhalak
Piers Anthony;Khton
Stephen King;A harcos - A Setét Torony 1.
George R. R. Martin;Lázálom
Jo Nesbo;Police
Kun Árpád;Boldog észak
Ray Bradbury;A Toynbee-átalakító
Szilasi László;A harmadik híd
Agatha Christie;Grand Tour
Warren Murphy, Richard Ben Sapir;Halálsakk - A Pusztító 2.
Helen Fielding;Bolondulásig  Bridget Jones naplója 3.
Daniel Pennac;Testnapló
Scott Turow;Ártatlan
Jonathan Stroud;A sikító lépcsõ esete
Chimamanda Ngozi Adichie;Az aranyló fél napkorong
Jeff VanderMeer;Expedíció
Joanna Bator;Homokfelhõ
Stephen Baxter;Antijég
Audrey Niffenegger;Hollókisasszony
Tiziano Scalvi, Angelo Stano, Gustavo Trigo;Dylan Dog #1 - Az élõholtak ébredése
J.M. Coetzee;Jézus gyermekkora
Tóth Eszter Zsófia és Murai András;Szex és szocializmus
Sofi Oksanen;Mikor eltûntek a galambok
David Benioff;Tolvajok tele
Florian Illies;1913
Robert Galbraith;Kakukkszó
Reed Albergotti és Vanessa O'Connell;Szökésben
Kim Stanley Robinson;2312
Norman Manea;Odú
Kelemen Zoltán;Az elsõ 21 novella
Robert A. Heinlein;Csillagközi invázió
Kerékgyártó István;Hurok - Pénzmagyar
Charles Bukowski;Nõk
Ben Brooks;Lolito
Roberto Saviano;ZéróZéróZéró
Albert Sánchez Pinol;Pandóra
Alan Hollinghurst;A szépség vonala
Mo Yan;Szeszföld
Sándor Iván;A Vanderbilt-jacht hajóorvosa
Robert Charles Wilson;Bázis: A Blind Lake-rejtély
Thomas Glavinic;A kamerás gyilkos
Nemere István;Lidércfény nyomozóiroda
Grecsó Krisztián;Megyek utánad
Jeff VanderMeer;Kontroll
Varga Ágota;Aczél-történetek
Donald Ray Pollock;Mindig az ördöggel
Anthony Ryan;A vér éneke - Hollóárnyék trilógia 1.
Bánffy Katalin;Ének az életbõl
