Tóth Kinga;Zsúr
Robert de Boron (?);Merlin - A varázsló regénye
Oleg Pavlov;Orosz trilógia
Visy Zsolt-Mráv Zsolt (szerk.);A Seuso-kincs és Pannonia
Benedek Szabolcs;Focialista forradalom
D. Tóth Kriszta, Hitka Viktória, Gál László;Zinka és Hugó - A rejtélyes üzenet
Charles Bukowski;Vegyes felvágott
Hammer Ferenc;...nem kellett élt vasalni a farmerbe
Gerle János-Csáki Tamás;Lajta Béla
Bartók Imre;A patkány éve
Valachi Anna;"""A nõ számomra rejtély"". József Attila asszonyai"
Szécsi Noémi;Gondolatolvasó
Kristine Barnett;A szikra
Centauri;Jégvágó
Georges Bataille;Belsõ tapasztalat
Szüts Miklós;Akvarellek 2009-2013
Kazuo Ishiguro;A lebegõ világ mûvésze
Kékesi Zoltán;Haladék. Holokauszt-emlékezet a kortárs mûvészetben
Tóth Krisztina;A londoni mackók
Richard Panek;4% univerzum - Sötét anyag, sötét energia
Jeff VanderMeer;Expedíció - Déli Végek-trilógia 1.
Feitl István, Mitrovits Miklós, Ripp Zoltán;Cenzné és ura
Takács Zsuzsa;Tiltott nyelv
Jan Caeyers;Beethoven
Bernard Chambaz;Nem én vagyok bin Laden!
Jonathan Franzen;Erõs rengés
Szilasi László;A harmadik híd
Babiczky Tibor;Magas tenger
B. Lotterfeld;Armageddon Reality Show
Esze Dóra;Tiszta Pierre (!)
Umberto Eco;Az értelmezés határai
Nagy Gabriella;Üvegház
Galántai György, Klaniczay Júlia;Artpool - The Experimental Art Archive Of East-Central Europe
Bíró Zsófia;A boldog hentes felesége
Kim Stanley Robinson;2312
Norman Manea;Odú
Schein Gábor-Szûcs Teri (szerk.);"""Zsidó"" identitásképek a huszadik századi magyar irodalomban"
Gimesi Dóra-Jeli Viktória-Tasnádi István-Vészits Andrea;Idõfutár 3. - A Próbák Palotája
Roberto Bola?o;Vad nyomozók
Wehner Tibor;Tapló - Kíméletlen mûvészeti napló 1996-2006
Julian Assange;A letiltott önéletrajz
Ernst Jünger;Acélzivatarban
Eugenio Montale;versei
Philip K. Dick;A halál útvesztõje
Szabó Imola Julianna;Varratok
Fehér Renátó;Garázsmenet
Mán-Várhegyi Réka;Boldogtalanság az Auróra-telepen
Leena Lehtolainen;Egyszer úgyis meg kell halni
Szegedy-Maszák Marianne;Csókolom a kezét
Marcus du Sautoy;A prímszámok zenéje
Alex Bellos;Alex Csodaországban
Ari Shavit;Hazám, az ígéret földje. Izrael gyõzelme és tragédiája
Anne Applebaum;Vasfüggöny. Kelet-Európa megtörése 1944-1956
Závada Pál;Természetes fény
David Benioff;Tolvajok tele
Farkas Zsolt;Szia
Ungváry Krisztián;Tettesek vagy áldozatok? - Feltáratlan fejezetek a XX. század történelmébõl
Lesi Zoltán;Merül
Roberto Saviano;ZéróZéróZéró
Arthur Philips;Arthur tragédiája
Michael-Thomas Liske;Leibniz
Konrád György;Itt, Európában
Bretus Imre;Megpróbálni élni
Illyés Gyula;Ítélet elõtt
Gelencsér Gábor;Az eredendõ máshol - Magyar filmes szólamok
Imre Zoltán;A nemzet színpadra állításai
Arnaldur Indri?ason;Hipotermia
Szántó T. Gábor;Kafka macskái
Arnon Grunberg;A betegség nélküli ember
Thomas Glavinic;A kamerás gyilkos
;Mozdonytûz  Fiatal Írók Antológiája
Amir Ahmed Nasszer;Én és az iszl@m. Egy ifjú muszlim belép a 21. századba
Egressy Zoltán;Százezer eperfa
Gyukics Gábor;A Kisfa Galeri
Sziveri János;Pasztorál
Kiss Judit Ágnes;Négyszög
John le Carré;Tükrök háborúja
Pintér Judit Nóra;A nem múló jelen  Trauma és nosztalgia
Alex Bandy;A csokoládé-gyilkosság. Egy ?lozófus másik élete
Rácz Péter;Az alvó testrõl
Nemes Z. Márió;A hercegprímás elsírja magát
Sándor Klára;A székely írás nyomában
Kolozsi László;A farkas gyomrában
Békés Márton;Az utolsó felkelés
Katharina Roters;Hungarian Cubes
Orosdy DánielSchreiber András;A horror mesterei  Lucio Fulci & George A. Romero
Tóth Krisztina;Pillanatragasztó
;A röpülõ falu. Magyar írók trianoni novellái
Kövér György;Biográ?a és társadalomtörténet
Florian Illies;1913  Az évszázad nyara
Murakami Haruki;Köddé vált elefánt
Csurgó Csaba;Kukoricza
Rainbow Rowell;Eleanor és Park
Kolozsi Angéla;Emília és az angyal, akit Körmöczi Györgynek hívnak
Michael Bond;Peddington könyvek
Németh MiklósOplatka András;Mert ez az ország érdeke
Szabó Angéla;Holt szezon. Katonaáldozataink
Oscar Wilde;Dorian Gray képmása (cenzúrázatlan változat)
