Tóth Krisztina;Akvárium
Toni Morrison;Nagyonkék
Jeffrey Eugenides;Öngyilkos szüzek
Lionel Shriver;Beszélnünk kell Kevinrõl
Joyce Maynard;Labor Day
Maria Semple;Where'd You Go, Bernadette
Jodi Picoult;The Storyteller
Niccol? Ammaniti;Én nem félek
Fannie Flagg;Sült zöld paradicsom
Palotai Boris;Viharos mennyország
Ruta Sepetys;Kalitkába zárt álmok
David Benioff;Tolvajok tele
Mark Haddon;A kutya különös esete az éjszakában
Neil Gaiman;Sosehol
Lugosi Viktória;Dafke
Joanne Harris;Ötnegyed narancs
Szabó Magda;Mózes egy, huszonkettõ
Sabina Berman;Én, Én, Én
Jessica Brockmole;Levelek Skye szigetérõl
Alessandro Baricco;Mr. Gwyn
Ram Oren;Gertruda esküje
Szabó Magda;Álarcosbál
F. Scott Fitzgerald;Benjamin Button különös élete
Graeme Simsion;A Rosie projekt
Bakó Ágnes;Fekete szivárvány
Tóth Krisztina;Pillanatragasztó
Elif Shafak;A bolhapalota
Jodi Picoult;Larger Than Life
Jodi Picoult;Találj rám!
Anna Gavalda;Édes életünk
Isabel Wolff;Séta az idõben
Fredrik Backman;Az ember, akit Ovénak hívnak
Ruth Ozeki;Az idõ partjain
Sun-Mi Hwang;Rügy
Marie-Aude Murail;Oh, boy!
Kristina Ohlsson;Az üveggyerekek
Justin Torres;Mi, állatok
Limpár Ildikó;Emlékek tava
Mette Jakobsen;Minou szigete
Fabio Stassi;Charlie utolsó tánca
Benyák Zoltán;Csavargók dala
Békés Pál;A Félõlény
Edward Kelsey Moore;Szikomorfán születtem
