Mark Pryor;A könyvárus rejtélye
George Orwell;1984
Szilvási Lajos;Születésnap júniusban
Halász Margit;Éneklõ folyó
Alice Munro;Asszonyok, lányok élete
Anna Funder;Amivé lettünk
Kondor Vilmos;Budapest noir
Nicholas Evans;Semper fortis
Alice Hoffman;Galambok õrizõi
Harlan Coben;Hat év
Vámos Miklós;Tiszta tûz
Jessica Brockmole;Levelek Skye szigetérõl
Maria Semple;Hová tûntél, Bernadette?
Emma Donoghue;A szoba
Kõrösi Zoltán;Milyen egy nõi mell?
Fabio Volo;Járok egyet
David Benioff;Tolvajok tele
Jane Rogers;Jessie Lamb testamentuma
Agatha Christie;Gyilkosság a paplakban
Ben Aaronovitch;London folyói
Cora Carmack;Színjáték
Pablo de Santis;Párizsi rejtély
Patrick Ness;A daruasszony
Rainbow Rowell;Eleanor & Park
Ernest Hemingway;Az öreg halász és a tenger
Nicholas Evans;A füstlovag
Katarina Mazetti;Pingvinélet
Robert Galbraith;Kakukkszó
Rachel Joyce;Harold Fry valószínûtlen utazása
Elizabeth Haynes;A lélek legsötétje
Frances Mayes;Mindennapok Toszkánában
Ljudmila Ulickaja;Szonyecska
Farkas Lívia;Ennél zöldebb nem lesz!
Grecsó Krisztián;Megyek utánad
Amanda Stevens;A próféta
Rainbow Rowell;Attachments
Gail Carriger;Soulless  Lélektelen
Baráth Katalin;Az arany cimbalom
Kõrösi Zoltán;A hûséges férfi
Katja Millay;The Sea of Tranquility  Nyugalom tengere
Alessandro D'Avenia;Senki sem tudja
Nógrádi Gábor;A mi Dózsánk
Kosztolányi Dezsõ;Velence
Khaled Hosseini;Ezeregy tündöklõ nap
Niccol? Ammaniti;Ahogy Isten parancsolja
Julie James;It Happened One Wedding
Jarmila Dìdková;Martina újra táncol
Nyrae Dawn;Charade
Kathryn Stockett;A Segítség
Guillermo Martínez;Luciana B. lassú halála
Nicolas Barreau;A nõ mosolya
Emma Chase;Behálózva
Ram Oren;Gertruda esküje
Katarina Mazetti;Családi sírbolt
Dorit Rabinjan;Lakodalmaink
Robert Merle;Utolsó nyár Primerolban
Dennis Lehane;Egy pohárral a háború elõtt
Nick Hornby;Hosszú út lefelé
Graeme Simsion;A Rosie projekt
Dennis Lehane;Sötétség, fogd meg a kezem
Gabriel García Márquez;Bánatos kurváim emlékezete
John Scalzi;Vének háborúja
Gerard van Emmerik;Csibefiú
David Nicholls;Egy nap
Carlos Ruiz Zafón;A mennyország fogságában
Benyák Zoltán;Csavargók dala
Anna Gavalda;Édes életünk
Fabio Volo;Ráadásnap
Hidasi Judit;Április út
Kondor Vilmos;Bûnös Budapest
Edward Kelsey Moore;Szikomorfán születtem
Gabrielle Zevin;Egy könyvmoly regényes élete
L. M. Montgomery;Anne az élet iskolájában
Sebastian Faulks;Madárdal
Maggie Stiefvater;Shiver  Borzongás
Charles Martin;Hegyek között
Sarah Addison Allen;A barackfa titka
Eowyn Ivey;A hóleány
Helen Simonson;Pettigrew õrnagy utolsó csatája
Tóth Krisztina;Pillanatragasztó
