Christopher Moore;A Melankólia-öböl buja bestiája
Lawrence Block;Sírok között
Jim C. Hines;The Stepsister Scheme
Sarah Morgan;Maybe this Christmas
Diana Wynne-Jones;A vándorló palota
Cressida Cowell;Így tanulj sárkányul
Robin McKinley;Beauty
Graeme Simsion;The Rosie Effect
William Ritter;Jackaby
David Walliams;Gengszter nagyi
Shannon Hale;Midnight in Austenland
Victoria Dahl;Looking for Trouble
Lois Lowry;Az emlékek õre
Molly Harper;Better Homes and Hauntings
Baráth Katalin;Az arany cimbalom
Bernie Su  Kate Rorick;The Secret Diary of Lizzie Bennet
Molly Harper;Nice Girls Dont Date Dead Men
Sarah Morgan;Suddenly, Last Summer
Katie McGarry;Take Me On
Elizabeth Wein;Rose Under Fire
Susan Elizabeth Phillips;A nagy menekülés
Kieran Larwood;Rémségek
Emma Thompson;Sense and Sensibility the Screenplay and Diaries
Deborah Meyler;The Bookstore
Katie McGarry;Crash into You
Mary Robinette Kowal;Üvegbûbáj
Graeme Simsion;The Rosie Project
J. R. Johansson;Álmatlanság
Gabrielle Zevin;The Storied Life of A. J. Fikry
Jennifer Estep;Hot Mama
Kristen Kittscher;Paróka az ablakban
Y.S. Lee;The Traitor and the Tunnel  The Agency 3
Madeline LEngle;Idõcsavar
Jo Baker;Longbourn árnyékában
Jennifer Estep;The Spider
Rachel Hartman;Seraphina
Lauren Graham;Egy nap talán
