On Sai;Calderon, avagy hullajelölt kerestetik
Rejtõ Jenõ;A Néma Revolverek Városa
Rejtõ Jenõ;Az elveszett cirkáló
Neil Gaiman;Smoke and Mirrors
Szabó Magda;Mózes egy, huszonkettõ
Timur Vermes;Nézd, ki van itt
Jane Austen;Pride and Prejudice
Mette Jakobsen;Minou szigete
Georges Simenon;Maigret és a három nõ
Jeff VanderMeer;Expedíció
Galgóczi Dóra;Megszülethettél volna
Khaled Hosseini;The Kite Runner
Szabó Magda;Sziget-kék
Amir Ahmad Nasr;My Isl@m
Rejtõ Jenõ;A fehér folt
John Green;The Fault in Our Stars
Rachel Ward;Nem enged a mélység
Mike Grinti - Rachel Grinti;Karmok
Victoria Schwab;Felszabadulás
Lugosi Viktória;Ajvé
Szabó Magda;Ókút
Kálmán Mari;Talyigás Irma és az Ürdög
Carolyn MacCullough;Always a Witch
Neil Gaiman;Neverwhere
Szabó Magda;A Danaida
J. R. Johansson;Álmatlanság
John Green;Paper Towns
Markus Zusak;The Book Thief
Szabó Magda;Freskó
Kálmán Mari;Ecetudvar
H. G. Wells;The Invisible Man
Jeff VanderMeer;Kontroll
Neil Gaiman;Fortunately, the Milk
Gaston Leroux;The Mystery of the Yellow Room
Georges Simenon;Maigret és az idegek harca
Jamie McGuire;Gyönyörû sorscsapás
Doris Lessing;Az ötödik gyerek
Graeme Simsion;The Rosie Project
Schäffer Erzsébet;Szia, anya!
Polcz Alaine;Macskaregény
Rejtõ Jenõ;Járõr a Szaharában/A halál fia
Jessica Brockmole;Levelek Skye szigetérõl
Rejtõ Jenõ;Csontbrigád
Joanne Harris;Gentlemen and Players
M.R. Carey;The Girl With All the Gifts
Carola Dunn;Daisy és a jégbefagyott Don Juan
Kathryn Stockett;The Help
Jodi Picoult;Where There's Smoke
Joe Hill;Heart-Shaped Box
T. S. Eliot;Macskák könyve
Georges Simenon;Maigret és a halott gyémántkereskedõ
Stephen King;Cujo
Jodi Picoult;Larger Than Life
Bartis Attila;A nyugalom
Szabó Magda;Tündér Lala
Rejtõ Jenõ;A szõke ciklon
Baráth Katalin;Az arany cimbalom
Gail Carriger - REM;Soulless - The Manga Vol. 3.
Gail Carriger;Curtsies & Conspiracies
Neil Gaiman;Chu's Day
John Boyne;The Boy in the Striped Pyjamas
William Golding;The Lord of the Flies
Rejtõ Jenõ;A tizennégy karátos autó
William Fisher, Melanie Le Bris;Prága
Vladimír Soukup;Prága (Útitárs)
Craig Turp, Derek Hall;Prága - térképes útikalauz
Csák Erika (szerk.);Prága - hangos útikönyv
Alessandro Baricco;Harag-várak
Jodi Picoult;The Storyteller
Szilvási Lajos;Egymás szemében
Susanna Lehner;Az El Camino hóhéra
Sophie Kinsella;Wedding Night
Gillian Flynn;Gone Girl
Natalie Babbitt;Tuck Everlasting
Donato Carrisi;Démoni suttogás
Sun-mi Hwang;Rügy
Khaled Hosseini;A Thousand Splendid Suns
Jacqueline Kelly;The Evolution of Calpurnia Tate
Lakatos Levente;Aktus
Limpár Ildikó;Emlékek tava
Torben Kuhlmann;Lindbergh
James Patterson-Michael Ledwidge;Zoo
Ruth Ozeki;Az idõ partjain
Sarah Dessen;Someone Like You
Ernest Hemingway;Az öreg halász és a tenger
Alice Hoffman;Property Of
